entity_a_id,entity_b_id,entity_a_name,entity_b_name,match_score,merge_accepted
client_03898,client_04696,LOS ANGELES WORLD AIRPORTS,LOS ANGELES WORLD AIRPORTS (LAWA),88.14,False
client_04297,client_04717,CONSUMER TECHNOLOGY ASSOCIATION (PREVIOUSLY THE CONSUMER ELECTRONICS ASSOCIATION,CONSUMER TECHNOLOGY ASSOCIATION (FKA CONSUMER ELECTRONICS ASSOCIATION (CEA)),85.9,False
client_02857,client_04725,AMERICAN BURN ASSOCIATION,"AMERICAN BUS ASSOCIATION, INC.",87.27,False
client_01517,client_04726,AMERICAN RENTAL ASSOCIATION,AMERICAN NURSES ASSOCIATION,85.19,False
client_02123,client_04726,AMERICAN SECURITIES ASSOCIATION,AMERICAN NURSES ASSOCIATION,86.21,False
client_02857,client_04726,AMERICAN BURN ASSOCIATION,AMERICAN NURSES ASSOCIATION,88.46,False
client_01598,client_04764,MOTOROLA SOLUTIONS,"MOTOROLA SOLUTIONS, INC.",85.71,False
client_00147,client_04775,POLARIS INDUSTRIES,"POLARIS INDUSTRIES, INC.",85.71,False
client_02785,client_04775,"VOLTA INDUSTRIES, INC.","POLARIS INDUSTRIES, INC.",86.96,False
client_00298,client_04781,"SAREPTA THERAPEUTICS, INC.",SAREPTA THERAPEUTICS,86.96,False
client_00393,client_04781,SAGE THERAPEUTICS,SAREPTA THERAPEUTICS,86.49,False
client_02518,client_04796,"VIRTU FINANCIAL, LLC",VIRTU FINANCIAL,85.71,False
client_00207,client_04816,AON CORPORATION,AERION CORPORATION,90.91,False
client_00383,client_04816,ARCONIC CORPORATION,AERION CORPORATION,86.49,False
client_02070,client_04816,BAYER CORPORATION,AERION CORPORATION,85.71,False
client_03575,client_04863,WORCESTER POLYTECHNIC INSTITUTE,WORCESTER POLYTECHNIC INSTITUTE (WPI),91.18,False
client_00895,client_04868,INNOVATION ALLIANCE,GPS INNOVATION ALLIANCE,90.48,False
client_01805,client_04877,COUNTY OF ALAMEDA CALIFORNIA,"CITY OF ALAMEDA, CALIFORNIA",90.91,False
client_00326,client_04885,"BUNGE NORTH AMERICA, INC","ENGIE NORTH AMERICA, INC.",89.8,False
client_00770,client_04901,LANXESS CORPORATION,NEWS CORPORATION,85.71,False
client_02876,client_04901,LOEWS CORPORATION,NEWS CORPORATION,90.91,False
client_00381,client_04902,NISSAN NORTH AMERICA,"NISSAN NORTH AMERICA, INC.",86.96,False
client_04561,client_04911,INTERNATIONAL PAPER,RI INTERNATIONAL,85.71,False
client_00061,client_04918,U.S. BEET SUGAR ASSOCIATION,U.S. BEET SUGAR ASSOCIATION (USBSA),87.1,False
client_02272,client_04924,PHLOW CORPORATION,YELLOW CORPORATION,85.71,False
client_02876,client_04924,LOEWS CORPORATION,YELLOW CORPORATION,85.71,False
client_03312,client_04937,AMAG PHARMACEUTICAL,AMNEAL PHARMACEUTICAL,90.0,False
client_03344,client_04975,SECURITIES INDUSTRY & FINANCIAL MARKETS ASSN.,SECURITIES INDUSTRY AND FINANCIAL MARKETS ASSOCIATION,87.76,False
client_02379,client_04984,"WITH HONOR ACTION, INC.",WITH HONOR ACTION,85.0,False
client_02876,client_04999,LOEWS CORPORATION,OMEROS CORPORATION,85.71,False
gov_0070,gov_0076,President of the U.S.,Vice President of the U.S.,89.36,False
gov_0157,gov_0177,U.S. Architectural & Transportation Barriers Compliance Board (ACCESS),Architectural & Transportation Barriers Compliance Board,88.89,False
gov_0035,gov_0191,Natl Institutes of Health (NIH),Natl Institute of Mental Health (NIMH),86.96,False
gov_0040,gov_0192,Office of Science & Technology Policy (OSTP),Office of Technology Policy (OTP),85.71,False
gov_0212,gov_0237,Occupational Safety & Health Review Commission,Mine Safety & Health Review Commission,85.71,False
