entity_a_id,entity_b_id,entity_a_name,entity_b_name,match_score,merge_accepted
lobbyist_100815,lobbyist_48319,JARED WEAVER,JARED WEAVER,100.0,True
lobbyist_139348,lobbyist_61605,STEVEN SCHULTZ,STEVE SCHULTZ,96.3,True
lobbyist_139788,lobbyist_47228,SUSAN BUTLER,SUSAN BUTLER,100.0,True
lobbyist_61633,lobbyist_148207,KRISTI REMINGTON,KRISTI REMINGTON,100.0,True
lobbyist_118394,lobbyist_52771,ANDREW SIFF,ANDREW SIFF,100.0,True
lobbyist_61631,lobbyist_148206,MALLOY MCDANIEL,MALLOY MCDANIEL,100.0,True
lobbyist_68867,lobbyist_146519,BRENDAN DUNN,BRENDAN DUNN,100.0,True
lobbyist_72651,lobbyist_37651,DANA THOMPSON,DANA THOMPSON,100.0,True
lobbyist_115002,lobbyist_61048,RICHARD HOAR,RICHARD HOAR,100.0,True
lobbyist_65023,lobbyist_64835,JENNIFER JOHNSON JARRELL,JENNIFER JOHNSON JARRELL,100.0,True
lobbyist_70045,lobbyist_18713,DOYLE BARTLETT,DOYLE BARTLETT,100.0,True
lobbyist_64753,lobbyist_93773,DEBRA DIXON,DEBRA DIXON,100.0,True
lobbyist_100784,lobbyist_149019,BRYAN ZUMWALT,BRYAN ZUMWALT,100.0,True
lobbyist_46897,lobbyist_47479,BRYAN CUNNINGHAM,BRYAN CUNNINGHAM,100.0,True
lobbyist_72734,lobbyist_59333,BARRETT THORNHILL,BARRETT THORNHILL,100.0,True
firm_401027897,lobbyist_57970,JAMES EDWARDS,JAMES EDWARDS,100.0,True
lobbyist_54736,lobbyist_62933,DANIEL MAUER,DANIEL MAUER,100.0,True
lobbyist_72994,lobbyist_61430,ANDREW BARBOUR,ANDREW BARBOUR,100.0,True
lobbyist_73447,lobbyist_56084,RALPH HELLMANN,RALPH HELLMANN,100.0,True
lobbyist_100727,lobbyist_37468,TOM QUINN,TOM QUINN,100.0,True
lobbyist_104752,lobbyist_149017,RUSS KELLEY,RUSS KELLEY,100.0,True
lobbyist_140981,lobbyist_151052,IAN WHITSON,IAN WHITSON,100.0,True
lobbyist_86705,lobbyist_70214,JEROME MURRAY,JEROME MURRAY,100.0,True
lobbyist_57938,lobbyist_64433,JOHN ANDERSON,JOHN ANDERSON,100.0,True
lobbyist_115068,lobbyist_54453,MICHAEL OSCAR,MICHAEL OSCAR,100.0,True
lobbyist_68019,lobbyist_99344,ERIADE WILLIAMS,ERIADE WILLIAMS,100.0,True
lobbyist_59213,lobbyist_67969,STEVEN PALMER,STEVEN PALMER,100.0,True
lobbyist_108446,lobbyist_149016,JOHN STEITZ,JOHN STEITZ,100.0,True
lobbyist_139167,lobbyist_137746,GREG WALDEN,GREG WALDEN,100.0,True
lobbyist_90278,lobbyist_144761,JOHN SOBEL,JOHN SOBEL,100.0,True
lobbyist_100741,lobbyist_69233,JOHN CZERWINSKI,JOHN CZERWINSKI,100.0,True
lobbyist_106874,lobbyist_121588,JARROD LOADHOLT,JARROD LOADHOLT,100.0,True
lobbyist_60428,lobbyist_55319,ERICA STOCKER,ERICA STOCKER,100.0,True
lobbyist_71611,lobbyist_147094,D STROUD,D STROUD,100.0,True
lobbyist_73468,lobbyist_3331,ANSLEY ERDEL,ANSLEY ERDEL,100.0,True
lobbyist_66086,lobbyist_108236,DAN ELLING,DAN ELLING,100.0,True
lobbyist_72039,lobbyist_66829,MILAN DALAL,MILAN DALAL,100.0,True
lobbyist_103663,lobbyist_72468,BRIAN GREER,BRIAN GREER,100.0,True
lobbyist_67821,lobbyist_67833,DAVID RUDD,DAVID RUDD,100.0,True
lobbyist_43711,lobbyist_138385,DAVID URBAN,DAVID URBAN,100.0,True
lobbyist_73496,lobbyist_54815,JOHANNA GRAY,JOHANNA GRAY,100.0,True
lobbyist_65415,lobbyist_59640,KEVIN KELLY,KEVIN KELLY,100.0,True
lobbyist_63832,lobbyist_88202,LIANNE ENDO,LIANNE ENDO,100.0,True
lobbyist_64185,lobbyist_150717,CONSTANTINE HINGSON,CONSTANTINE HINGSON,100.0,True
lobbyist_63788,lobbyist_71812,BRIAN GLACKIN,BRIAN GLACKIN,100.0,True
lobbyist_71086,lobbyist_66945,CHAN PARK,CHAN PARK,100.0,True
lobbyist_139792,lobbyist_67919,TY MABRY,TY MABRY,100.0,True
lobbyist_68780,lobbyist_99894,JONATHAN BECKER,JONATHAN BECKER,100.0,True
lobbyist_44837,lobbyist_77413,DENNIS MCGRANN,DENNIS MCGRANN,100.0,True
lobbyist_55142,lobbyist_69480,JENNIFER STEWART,JENNIFER STEWART,100.0,True
lobbyist_71629,lobbyist_68680,MAX ROSEN,MAX ROSEN,100.0,True
lobbyist_69148,lobbyist_70592,STONEY BURKE,STONEY BURKE,100.0,True
lobbyist_68784,lobbyist_140878,MADELINE WADE,MADELINE WADE,100.0,True
